"N","mean","bias","mse","prob","cover","model"
50,-0.0195386216095888,-0.0195386216095888,0.0577220090555764,0.03,0.958,"MCMC-Uniform"
100,-0.0641655836950869,-0.0641655836950869,0.0376526943658756,0.084,0.91,"MCMC-Uniform"
150,-0.0966429462594813,-0.0966429462594813,0.0349055337194129,0.174,0.816,"MCMC-Uniform"
200,-0.0923463295986644,-0.0923463295986644,0.0279136726668517,0.186,0.81,"MCMC-Uniform"
250,-0.104119656044031,-0.104119656044031,0.0290727348118734,0.242,0.752,"MCMC-Uniform"
300,-0.0927565991159973,-0.0927565991159973,0.0215410763299354,0.256,0.744,"MCMC-Uniform"
350,-0.0866070551944566,-0.0866070551944566,0.0223094374750251,0.252,0.746,"MCMC-Uniform"
400,-0.0745914331691695,-0.0745914331691695,0.0189035486794207,0.232,0.744,"MCMC-Uniform"
450,-0.076897931658772,-0.076897931658772,0.0164989404120694,0.236,0.758,"MCMC-Uniform"
500,-0.0701561299957452,-0.0701561299957452,0.0151618711599445,0.218,0.77,"MCMC-Uniform"
