"N","mean","bias","mse","prob","cover","model"
50,0.00928534896836128,0.00928534896836128,0.0510005401160259,0.02,0.962,"MCMC-Uniform"
100,-0.00247437638325961,-0.00247437638325961,0.0228998904097472,0.028,0.96,"MCMC-Uniform"
150,-0.0117444350130744,-0.0117444350130744,0.0142371111504249,0.034,0.954,"MCMC-Uniform"
200,0.00503197275079319,0.00503197275079319,0.00896211011196028,0.022,0.964,"MCMC-Uniform"
250,-0.00168054629575701,-0.00168054629575701,0.0102994855103546,0.04,0.918,"MCMC-Uniform"
300,-0.00141962846681414,-0.00141962846681414,0.0066373704831044,0.038,0.934,"MCMC-Uniform"
350,0.00503806476798449,0.00503806476798449,0.00779457121446408,0.048,0.904,"MCMC-Uniform"
400,0.00872169484261553,0.00872169484261553,0.00658976913332771,0.036,0.906,"MCMC-Uniform"
450,0.00706557880423788,0.00706557880423788,0.00616718454936045,0.044,0.896,"MCMC-Uniform"
500,0.00580611917497645,0.00580611917497645,0.00559719675526498,0.042,0.89,"MCMC-Uniform"
