"N","mean","bias","mse","prob","cover","model"
50,0.00080620473590277,0.00080620473590277,0.0495652052091129,0.022,0.968,"MCMC-Uniform"
100,-0.0228845033775814,-0.0228845033775814,0.0197679717168544,0.026,0.966,"MCMC-Uniform"
150,-0.037513545910822,-0.037513545910822,0.0119547667550816,0.06,0.934,"MCMC-Uniform"
200,-0.0256008556036016,-0.0256008556036016,0.00712729926325636,0.038,0.962,"MCMC-Uniform"
250,-0.0298489355874594,-0.0298489355874594,0.0077347424962012,0.068,0.922,"MCMC-Uniform"
300,-0.0301761711805251,-0.0301761711805251,0.0053027335170602,0.076,0.916,"MCMC-Uniform"
350,-0.0273122861465586,-0.0273122861465586,0.00514588841592306,0.068,0.916,"MCMC-Uniform"
400,-0.0201530794956737,-0.0201530794956737,0.00421882859587482,0.08,0.904,"MCMC-Uniform"
450,-0.0231376957823787,-0.0231376957823787,0.00378568432437435,0.096,0.894,"MCMC-Uniform"
500,-0.0218424615477853,-0.0218424615477853,0.00335250449755962,0.074,0.922,"MCMC-Uniform"
