"N","mean","bias","mse","prob","cover","model"
50,0.00995596570770369,0.00995596570770369,0.0482288027259523,0.02,0.966,"MCMC-Uniform"
100,0.00146765820806966,0.00146765820806966,0.0166485035818666,0.018,0.966,"MCMC-Uniform"
150,-0.00785143925919261,-0.00785143925919261,0.00782562890372096,0.01,0.978,"MCMC-Uniform"
200,0.00087543944787627,0.00087543944787627,0.00460006385157238,0.016,0.976,"MCMC-Uniform"
250,-0.00066670516770101,-0.00066670516770101,0.00469577403033796,0.024,0.954,"MCMC-Uniform"
300,-0.00128369581752092,-0.00128369581752092,0.00321984876700221,0.02,0.96,"MCMC-Uniform"
350,-0.00120394992930225,-0.00120394992930225,0.00290267148429322,0.034,0.94,"MCMC-Uniform"
400,0.00248079071159653,0.00248079071159653,0.00227328739113828,0.016,0.96,"MCMC-Uniform"
450,0.001520617890883,0.001520617890883,0.00185790199153749,0.016,0.974,"MCMC-Uniform"
500,0.000443828676574561,0.000443828676574561,0.00168576855499782,0.028,0.96,"MCMC-Uniform"
