"N","Mean","bias","mse","prob","cover","model"
50,0.0162459105903482,0.0162459105903482,0.0558371188995118,0.016,0.944,"MCMC-Empirical"
100,-0.0233647129395867,-0.0233647129395867,0.0297245230394108,0.068,0.908,"MCMC-Empirical"
150,-0.0373529029576125,-0.0373529029576125,0.0237573934406343,0.114,0.87,"MCMC-Empirical"
200,-0.0543202593563171,-0.0543202593563171,0.0235827913085254,0.194,0.786,"MCMC-Empirical"
250,-0.0590745871456277,-0.0590745871456277,0.0205997047358195,0.198,0.776,"MCMC-Empirical"
300,-0.0631177022516707,-0.0631177022516707,0.0177725987406839,0.234,0.752,"MCMC-Empirical"
350,-0.0439784557702026,-0.0439784557702026,0.0145563880154276,0.194,0.782,"MCMC-Empirical"
400,-0.0508336774946831,-0.0508336774946831,0.0154300365801865,0.234,0.74,"MCMC-Empirical"
450,-0.0477416650449577,-0.0477416650449577,0.0134449883263517,0.214,0.764,"MCMC-Empirical"
500,-0.0357540394289963,-0.0357540394289963,0.010973326765282,0.184,0.792,"MCMC-Empirical"
