"N","Mean","bias","mse","prob","cover","model"
50,0.0172142729109793,0.0172142729109793,0.055446975367138,0.014,0.956,"MCMC-Empirical"
100,-0.014195254539627,-0.014195254539627,0.0254956215122292,0.046,0.936,"MCMC-Empirical"
150,-0.0234558595521703,-0.0234558595521703,0.0188810059135681,0.076,0.902,"MCMC-Empirical"
200,-0.0370893851402039,-0.0370893851402039,0.0164951035261077,0.124,0.85,"MCMC-Empirical"
250,-0.0329800504364041,-0.0329800504364041,0.0124896423325984,0.124,0.852,"MCMC-Empirical"
300,-0.0385660193383434,-0.0385660193383434,0.0103390345603443,0.162,0.824,"MCMC-Empirical"
350,-0.0227816695505861,-0.0227816695505861,0.00903903212540896,0.126,0.852,"MCMC-Empirical"
400,-0.0297375841376134,-0.0297375841376134,0.00869372320931404,0.148,0.83,"MCMC-Empirical"
450,-0.0277979881952644,-0.0277979881952644,0.00765366970405418,0.128,0.858,"MCMC-Empirical"
500,-0.0175817483882554,-0.0175817483882554,0.00625261257823506,0.12,0.858,"MCMC-Empirical"
