"N","Mean","bias","mse","prob","cover","model"
50,-0.218662651844971,0.00448089946923893,0.0464059075277227,0.17,0.956,"MCMC-Uniform"
100,-0.256132572065885,-0.0329890207516753,0.0184283002435975,0.47,0.962,"MCMC-Uniform"
150,-0.2647515244915,-0.0416079731772901,0.0133785540551068,0.686,0.93,"MCMC-Uniform"
200,-0.273779203865851,-0.0506356525516417,0.011304067337218,0.81,0.886,"MCMC-Uniform"
250,-0.269715605767281,-0.0465720544530717,0.00850705911646745,0.902,0.892,"MCMC-Uniform"
300,-0.273159953783662,-0.0500164024694522,0.00736615840652728,0.946,0.854,"MCMC-Uniform"
350,-0.262989314429803,-0.0398457631155934,0.00618373117368263,0.956,0.856,"MCMC-Uniform"
400,-0.267802010910924,-0.0446584595967146,0.00605808670045931,0.972,0.85,"MCMC-Uniform"
450,-0.265395823502173,-0.0422522721879633,0.00535748041850014,0.988,0.84,"MCMC-Uniform"
500,-0.261667037965239,-0.0385234866510295,0.00440664450499169,0.99,0.84,"MCMC-Uniform"
